Date,Open,High,Low,Close
2018-01-02 21:30:00,177.74,180.79,177.56,180.51
2018-01-03 00:30:00,180.51,181.33,180.49,180.89
2018-01-03 03:30:00,180.89,181.57,180.86,181.42
2018-01-03 21:30:00,181.87,183.88,181.39,183.815
2018-01-04 00:30:00,183.76,184.54,183.74,184.32
2018-01-04 03:30:00,184.31,184.73,184.31,184.48
2018-01-04 21:30:00,184.97,186.16,184.32,184.88
2018-01-05 00:30:00,184.88,185.33,184.1,185.11
2018-01-05 03:30:00,185.135,185.22,184.28,184.33
2018-01-05 21:30:00,185.5,185.93,184.93,185.76
2018-01-06 00:30:00,185.78,186.11,185.63,186.06
2018-01-06 03:30:00,186.06,186.9,186.05,186.86
2018-01-08 21:30:00,187.35,188.88,186.35,188.44
2018-01-09 00:30:00,188.43,188.46,187.86,188.135
2018-01-09 03:30:00,188.12,188.53,188.0,188.15
2018-01-09 21:30:00,188.66,188.76,187.11,187.84
2018-01-10 00:30:00,187.8,188.24,187.66,187.66
2018-01-10 03:30:00,187.71,188.1,187.71,187.87
2018-01-10 21:30:00,186.79,187.85,185.69,187.49
2018-01-11 00:30:00,187.56,187.87,187.0,187.51
2018-01-11 03:30:00,187.48,187.87,187.44,187.79
2018-01-11 21:30:00,188.2,188.3,187.39,187.52
2018-01-12 00:30:00,187.59,188.01,187.41,187.63
2018-01-12 03:30:00,187.65,187.8,187.48,187.78
2018-01-12 21:30:00,178.09,180.7,177.4,180.2
2018-01-13 00:30:00,180.19,181.45,178.82,178.82
2018-01-13 03:30:00,178.83,179.84,178.52,179.4
2018-01-16 21:30:00,181.49,181.67,179.0,180.11
2018-01-17 00:30:00,180.11,180.13,178.05,178.8
2018-01-17 03:30:00,178.78,178.93,178.25,178.39
2018-01-17 21:30:00,179.25,179.25,175.8,176.3
2018-01-18 00:30:00,176.33,178.64,176.09,177.71
2018-01-18 03:30:00,177.77,177.84,177.42,177.58
2018-01-18 21:30:00,177.7,180.81,177.08,180.81
2018-01-19 00:30:00,180.81,180.97,179.78,180.19
2018-01-19 03:30:00,180.14,180.38,179.81,179.81
2018-01-19 21:30:00,180.86,182.35,180.62,181.0
2018-01-20 00:30:00,181.02,181.68,180.77,180.92
2018-01-20 03:30:00,180.92,181.29,180.18,181.29
2018-01-22 21:30:00,180.83,184.5,180.46,184.26
2018-01-23 00:30:00,184.27,184.64,183.67,184.6
2018-01-23 03:30:00,184.59,185.39,184.5,185.37
2018-01-23 21:30:00,186.45,188.46,185.59,187.58
2018-01-24 00:30:00,187.53,189.0,187.14,188.9
2018-01-24 03:30:00,188.905,189.55,188.75,189.34
2018-01-24 21:30:00,189.94,190.64,186.77,188.03
2018-01-25 00:30:00,188.17,188.4,186.76,187.12
2018-01-25 03:30:00,187.12,187.57,186.53,186.55
2018-01-25 21:30:00,187.95,188.62,186.615,187.8
2018-01-26 00:30:00,187.82,188.53,186.88,187.51
2018-01-26 03:30:00,187.5,187.61,187.19,187.46
2018-01-26 21:30:00,187.66,188.28,186.82,187.72
2018-01-27 00:30:00,187.72,189.3,187.69,189.2
2018-01-27 03:30:00,189.21,190.0,189.15,189.93
2018-01-29 21:30:00,188.75,188.81,186.91,187.66
2018-01-30 00:30:00,187.68,187.85,186.33,186.52
2018-01-30 03:30:00,186.53,186.6,185.65,185.95
2018-01-30 21:30:00,183.01,188.17,182.0,186.98
2018-01-31 00:30:00,186.9,187.7,186.24,187.6
2018-01-31 03:30:00,187.62,187.79,187.03,187.03
2018-01-31 21:30:00,188.43,189.83,188.1,188.73
2018-02-01 00:30:00,188.74,188.83,185.23,186.75
2018-02-01 03:30:00,186.76,187.76,186.27,186.64
2018-02-01 21:30:00,188.22,195.31,188.005,194.73
2018-02-02 00:30:00,194.71,194.89,192.26,193.38
2018-02-02 03:30:00,193.33,193.75,192.47,193.12
2018-02-02 21:30:00,192.09,194.21,190.33,193.55
2018-02-03 00:30:00,193.5,193.64,190.27,190.7
2018-02-03 03:30:00,190.725,190.83,189.98,190.27
2018-02-05 21:30:00,186.89,190.6,186.52,188.34
2018-02-06 00:30:00,188.31,188.76,180.65,186.16
2018-02-06 03:30:00,186.18,186.37,181.23,181.26
2018-02-06 21:30:00,178.67,185.68,177.75,182.31
2018-02-07 00:30:00,182.24,184.27,179.71,183.6
2018-02-07 03:30:00,183.59,185.42,183.01,185.36
2018-02-07 21:30:00,184.34,185.04,182.0,183.64
2018-02-08 00:30:00,183.64,183.64,179.99,181.95
2018-02-08 03:30:00,181.94,181.94,180.0,180.19
2018-02-08 21:30:00,181.03,181.69,174.05,176.85
2018-02-09 00:30:00,176.85,177.66,173.49,175.0
2018-02-09 03:30:00,175.0,175.22,171.5,171.56
2018-02-09 21:30:00,174.535,176.77,169.12,170.08
2018-02-10 00:30:00,170.17,174.88,167.25,174.61
2018-02-10 03:30:00,174.6,176.79,174.42,176.05
2018-02-12 21:30:00,177.05,177.28,171.87,175.33
2018-02-13 00:30:00,175.37,177.53,175.13,177.15
2018-02-13 03:30:00,177.2,177.36,175.82,176.42
2018-02-13 21:30:00,175.0,175.945,174.0,174.24
