Date,Open,High,Low,Close
1871-02-01 21:32:32,4.5,4.5,4.5,4.5
1871-03-01 21:32:32,4.61,4.61,4.61,4.61
1871-05-01 21:32:32,4.86,4.86,4.86,4.86
1871-06-01 21:32:32,4.82,4.82,4.82,4.82
1871-08-01 21:32:32,4.79,4.79,4.79,4.79
1871-09-01 21:32:32,4.84,4.84,4.84,4.84
1871-11-01 21:32:32,4.64,4.64,4.64,4.64
1871-12-01 21:32:32,4.74,4.74,4.74,4.74
1872-01-01 21:32:32,4.86,4.86,4.86,4.86
1872-02-01 21:32:32,4.88,4.88,4.88,4.88
1872-03-01 21:32:32,5.04,5.04,5.04,5.04
1872-04-01 21:32:32,5.18,5.18,5.18,5.18
1872-05-01 21:32:32,5.18,5.18,5.18,5.18
1872-07-01 21:32:32,5.1,5.1,5.1,5.1
1872-08-01 21:32:32,5.04,5.04,5.04,5.04
1872-10-01 21:32:32,4.97,4.97,4.97,4.97
1872-11-01 21:32:32,4.95,4.95,4.95,4.95
1873-01-01 21:32:32,5.11,5.11,5.11,5.11
1873-04-01 21:32:32,5.04,5.04,5.04,5.04
1873-05-01 21:32:32,5.05,5.05,5.05,5.05
1873-07-01 21:32:32,4.97,4.97,4.97,4.97
1873-08-01 21:32:32,4.97,4.97,4.97,4.97
1873-09-01 21:32:32,4.59,4.59,4.59,4.59
1873-10-01 21:32:32,4.19,4.19,4.19,4.19
1873-12-01 21:32:32,4.42,4.42,4.42,4.42
1874-01-01 21:32:32,4.66,4.66,4.66,4.66
1874-04-01 21:32:32,4.6,4.6,4.6,4.6
1874-05-01 21:32:32,4.48,4.48,4.48,4.48
1874-06-01 21:32:32,4.46,4.46,4.46,4.46
1874-07-01 21:32:32,4.46,4.46,4.46,4.46
1874-09-01 21:32:32,4.54,4.54,4.54,4.54
1874-10-01 21:32:32,4.53,4.53,4.53,4.53
1874-12-01 21:32:32,4.54,4.54,4.54,4.54
1875-01-01 21:32:32,4.54,4.54,4.54,4.54
1875-02-01 21:32:32,4.53,4.53,4.53,4.53
1875-03-01 21:32:32,4.59,4.59,4.59,4.59
1875-04-01 21:32:32,4.65,4.65,4.65,4.65
1875-06-01 21:32:32,4.38,4.38,4.38,4.38
1875-07-01 21:32:32,4.39,4.39,4.39,4.39
